iter	RMSE
0	0.4355040643
1	0.4300124728
2	0.4247131349
3	0.4198602524
4	0.4154066698
5	0.4110895712
6	0.4073782504
7	0.4038389844
8	0.4004846225
9	0.3975050054
10	0.3947285022
11	0.3921925522
12	0.3900229752
13	0.3879979411
14	0.3859932659
15	0.38428705
16	0.3826552617
17	0.3813343664
18	0.3799606605
19	0.3786408794
20	0.3773981166
21	0.3762466726
22	0.3751457775
23	0.3741009258
24	0.3731781372
25	0.3723116122
26	0.3715725975
27	0.3708733739
28	0.3701849657
29	0.36945949
30	0.3690105225
31	0.3685191382
32	0.3678848638
33	0.3673083311
34	0.3668402367
35	0.3663012083
36	0.3658311418
37	0.3654221985
38	0.3649521866
39	0.3645391467
40	0.364267918
41	0.3638699215
42	0.3635904477
43	0.3631925874
44	0.3629264868
45	0.3625794636
46	0.3622579735
47	0.3618971002
48	0.3616024213
49	0.3614319107
50	0.3611654906
51	0.3609447097
52	0.3607509124
53	0.3605381125
54	0.3603392583
55	0.3601582506
56	0.3599337432
57	0.3596760907
58	0.3594201479
59	0.3592924244
60	0.3590996356
61	0.3588732384
62	0.3585947906
63	0.3583265565
64	0.3582606706
65	0.3581333115
66	0.3579468441
67	0.3577126953
68	0.3574367399
69	0.3573918209
70	0.3572822833
71	0.3571018529
72	0.3569302387
73	0.3567167535
74	0.3565413643
75	0.3563450168
76	0.3562426299
77	0.356041159
78	0.355914974
79	0.3557467789
80	0.3555999261
81	0.3554424932
82	0.3553112881
83	0.3551968027
84	0.3549490152
85	0.3547977242
86	0.3546238826
87	0.3544893948
88	0.3543980668
89	0.3542303578
90	0.3541670269
91	0.3540572038
92	0.3539945411
93	0.3538690914
94	0.3537370201
95	0.3535744322
96	0.3534555635
97	0.3533226673
98	0.3531572841
99	0.35302664
100	0.3528975168
101	0.3527639103
102	0.3524955128
103	0.3522518225
104	0.3521169169
105	0.3520654729
106	0.3518742451
107	0.3517092197
108	0.3515722787
109	0.351491405
110	0.3513598948
111	0.3512743956
112	0.3512065694
113	0.3511327112
114	0.3509843125
115	0.350891788
116	0.3507408921
117	0.3505883602
118	0.3505335976
119	0.3504061255
120	0.3502866402
121	0.350167336
122	0.3499951692
123	0.3498906577
124	0.349769142
125	0.3496717201
126	0.3495863743
127	0.3494815429
128	0.3493227808
129	0.3492290922
130	0.3490867136
131	0.3489612084
132	0.3488472464
133	0.3488426718
134	0.3486641311
135	0.3485614806
136	0.3484237596
137	0.348327451
138	0.348230798
139	0.3481686347
140	0.3481113421
141	0.3480062302
142	0.3479353507
143	0.3478413621
144	0.3477122497
145	0.3475728391
146	0.3475036275
147	0.3474499481
148	0.3473191399
149	0.3472148752
150	0.3471155278
151	0.3470219315
152	0.3469395374
153	0.3468318104
154	0.3466726901
155	0.3466294162
156	0.3465067948
157	0.3463619143
158	0.3462886029
159	0.3461458288
160	0.3460635928
161	0.3459643775
162	0.3458742407
163	0.3457855141
164	0.3456841651
165	0.3456237702
166	0.3455124685
167	0.3454432596
168	0.3453372229
169	0.3451421231
170	0.3450745648
171	0.3449749386
172	0.3448909292
173	0.3447118737
174	0.344587883
175	0.3444882025
176	0.34435997
177	0.3442766119
178	0.3442371723
179	0.3441395198
180	0.3440624645
181	0.3439457891
182	0.343859185
183	0.3437474157
184	0.3436508261
185	0.3435753695
186	0.3435058468
187	0.3434238929
188	0.3433471682
189	0.3432499739
190	0.3431695306
191	0.3431031809
192	0.3430227356
193	0.34288377
194	0.3428159584
195	0.3426969011
196	0.3425959337
197	0.3425182911
198	0.3424382606
199	0.3423109739
200	0.3422316691
201	0.3421327911
202	0.3420105077
203	0.3419255878
204	0.3417596988
205	0.3416446147
206	0.341574655
207	0.3414473235
208	0.3412852006
209	0.3412319629
210	0.3411218261
211	0.3410455316
212	0.3409867305
213	0.3408945137
214	0.3408088412
215	0.3407007875
216	0.3406138514
217	0.3405084761
218	0.3404355148
219	0.3403285664
220	0.3402479807
221	0.340141927
222	0.3400495264
223	0.3399835009
224	0.3398824813
225	0.3397708059
226	0.3395800071
227	0.3394909948
228	0.3393864013
229	0.3392983822
230	0.3391642703
231	0.3391037185
232	0.3390376504
233	0.3389595482
234	0.3388770143
235	0.3387832617
236	0.3387253276
237	0.3386596928
238	0.3384861127
239	0.3384179994
240	0.3383577682
241	0.3382555057
242	0.3381486221
243	0.3380484219
244	0.3379568281
245	0.3378926765
246	0.3378322571
247	0.3377546743
248	0.3376862599
249	0.3375248402
250	0.3374541613
251	0.3374009546
252	0.337202301
253	0.3371482787
254	0.3369975357
255	0.3369272591
256	0.3368574951
257	0.3367822926
258	0.3367301036
259	0.3366532632
260	0.3365045289
261	0.3364045875
262	0.3363414456
263	0.3362809191
264	0.3362418284
265	0.336172776
266	0.3360321889
267	0.3359997347
268	0.3359642341
269	0.3358984227
270	0.3358376068
271	0.3357656613
272	0.3356365199
273	0.3355207751
274	0.3354641909
275	0.3354015768
276	0.3352801434
277	0.3351535056
278	0.3350926846
279	0.3350271306
280	0.334979517
281	0.3348698375
282	0.3347707418
283	0.33464146
284	0.3345649883
285	0.3344819308
286	0.334430541
287	0.3343475731
288	0.3342213451
289	0.3341304516
290	0.3340095061
291	0.3339616047
292	0.3339090425
293	0.3338510342
294	0.3336712643
295	0.3335870859
296	0.3335115377
297	0.3333980694
298	0.3333227292
299	0.3331601573
300	0.3330920562
301	0.3329320046
302	0.3327527529
303	0.3326343444
304	0.3324976525
305	0.3323836692
306	0.3322552049
307	0.3321427822
308	0.3320170717
309	0.331960914
310	0.3318000135
311	0.3315939523
312	0.3315127312
313	0.3314474713
314	0.3313080376
315	0.3312018741
316	0.3311295318
317	0.3310377248
318	0.3309123712
319	0.3308358943
320	0.330723145
321	0.3306732241
322	0.3305924734
323	0.3304833107
324	0.3303880309
325	0.3303149604
326	0.3302741493
327	0.3301695987
328	0.3300574111
329	0.3300311991
330	0.3298304241
331	0.3297725308
332	0.3296507296
333	0.3295703908
334	0.3294234085
335	0.3293794013
336	0.3293045394
337	0.3292448382
338	0.3291934489
339	0.3291471543
340	0.3290346788
341	0.3289724497
342	0.3289298803
343	0.3288119532
344	0.3287849847
345	0.3286858167
346	0.3285915063
347	0.3285551885
348	0.3284605717
349	0.3283532536
350	0.3282645368
351	0.3281203726
352	0.3279977292
353	0.3279320456
354	0.3279011125
355	0.3278155642
356	0.3277342046
357	0.327667235
358	0.3274929869
359	0.3273811082
360	0.3272427622
361	0.3271743648
362	0.327040223
363	0.326938444
364	0.3268846664
365	0.3268532807
366	0.326761284
367	0.3266614819
368	0.3266055525
369	0.3265191167
370	0.3264974258
371	0.3264254001
372	0.3262755364
373	0.3261075039
374	0.3260342389
375	0.3259733966
376	0.3258945046
377	0.3258493383
378	0.32578841
379	0.3257387165
380	0.3255992447
381	0.3254459309
382	0.3252882073
383	0.325215814
384	0.3251464302
385	0.3250281749
386	0.3250065786
387	0.3248686509
388	0.3247942675
389	0.3246830849
390	0.3246150518
391	0.3245109568
392	0.3244207692
393	0.3243527306
394	0.3242699921
395	0.3241754854
396	0.3241240416
397	0.3240814488
398	0.3240697012
399	0.3239560983
400	0.3239323049
401	0.323874327
402	0.3237698126
403	0.3236778874
404	0.3236024318
405	0.3235625238
406	0.3235006012
407	0.3234634793
408	0.3233780977
409	0.323342567
410	0.3232860789
411	0.3231363515
412	0.3230409104
413	0.3229774848
414	0.322853599
415	0.3227881349
416	0.3227114361
417	0.3226962866
418	0.3225787076
419	0.3225423305
420	0.3223998019
421	0.3223066529
422	0.3222883497
423	0.3221625741
424	0.3220491627
425	0.3219243191
426	0.3217741693
427	0.321684898
428	0.3215978462
429	0.3215499029
430	0.3214607199
431	0.3214185792
432	0.3213221766
433	0.3212087964
434	0.3211227624
435	0.3211018803
436	0.3210865887
437	0.320941661
438	0.3207970176
439	0.3207265434
440	0.3206135607
441	0.3205324693
442	0.3204739219
443	0.3204529369
444	0.3203943229
445	0.3203233267
446	0.3202296417
447	0.3201322357
448	0.3200842194
449	0.3200563618
450	0.3199811322
451	0.3199360717
452	0.319873114
453	0.319804479
454	0.3197532676
455	0.3197276853
456	0.3195920751
457	0.3195607737
458	0.31938739
459	0.3192607666
460	0.3191498535
461	0.319061293
462	0.3190414328
463	0.3189356734
464	0.3188165432
465	0.3186812836
466	0.3186004117
467	0.3185363079
468	0.3184351435
469	0.3183555583
470	0.3182985967
471	0.3181917659
472	0.3181029194
473	0.3179856166
474	0.3179388376
475	0.3178262371
476	0.3177092055
477	0.3176954614
478	0.3176672188
479	0.3175855546
480	0.3175389786
481	0.3174927317
482	0.317372774
483	0.3172722455
484	0.3172194803
485	0.3170943431
486	0.3169985261
487	0.3169492791
488	0.3168731076
489	0.3168003808
490	0.3167824488
491	0.3167512222
492	0.3166894805
493	0.3166087315
494	0.3165594683
495	0.3165157806
496	0.3164088096
497	0.3163654013
498	0.3162692965
499	0.3161782968
500	0.3161231948
501	0.3160291137
502	0.3160176893
503	0.3159185837
504	0.3158819841
505	0.3157894588
506	0.3157571651
507	0.3157394539
508	0.3156217554
509	0.3155980056
510	0.3155469322
511	0.3154654953
512	0.3153694776
513	0.315258058
514	0.3152416925
515	0.3152105911
516	0.3151232477
517	0.3149784038
518	0.3148902036
519	0.3148120186
520	0.3147691356
521	0.3146636688
522	0.3145718771
523	0.3144880684
524	0.3144187254
525	0.3143784368
526	0.3143571109
527	0.3142905044
528	0.3142464643
529	0.3141898784
530	0.3141283285
531	0.3140354102
532	0.313982681
533	0.313967086
534	0.3139157731
535	0.3138628678
536	0.3137533949
537	0.3136824655
538	0.3135849021
539	0.3134838339
540	0.3134207671
541	0.3132815108
542	0.3132029541
543	0.3131421442
544	0.3130948331
545	0.3130422912
546	0.312930089
547	0.3128540975
548	0.3127641069
549	0.3126600543
550	0.3125770566
551	0.3124773386
552	0.3123550078
553	0.312227637
554	0.3121926583
555	0.3121428402
556	0.312067925
557	0.3120283912
558	0.3119230252
559	0.3118419018
560	0.3117358846
561	0.3117041191
562	0.3116596274
563	0.3116223964
564	0.3115785092
565	0.3115119065
566	0.3113783376
567	0.3113265059
568	0.3112338803
569	0.3111563362
570	0.3111233519
571	0.3110530966
572	0.3109827506
573	0.3109117616
574	0.3108839725
575	0.3108411196
576	0.3107741877
577	0.3106660174
578	0.3106050067
579	0.3105833712
580	0.3104958157
581	0.3104122142
582	0.310395523
583	0.3102781933
584	0.3102310597
585	0.3101105639
586	0.3100132118
587	0.309973138
588	0.3099088643
589	0.3098714441
590	0.3098221812
591	0.3097612648
592	0.3097385066
593	0.3096852076
594	0.3096365085
595	0.3095564672
596	0.3095415413
597	0.3095036528
598	0.3094710069
599	0.3094304378
600	0.3093955588
601	0.3093677983
602	0.3092913829
603	0.3092634979
604	0.3091833835
605	0.3090991751
606	0.309059644
607	0.3089685102
608	0.3088610542
609	0.308839572
610	0.3087772124
611	0.3087580963
612	0.3086538527
613	0.308636066
614	0.3085671684
615	0.3084506186
616	0.3084025223
617	0.308312726
618	0.3082426369
619	0.3082087278
620	0.3081630594
621	0.3081067925
622	0.3080467372
623	0.3079790095
624	0.307926632
625	0.3078579549
626	0.3077584627
627	0.3077134425
628	0.3076449043
629	0.3074914451
630	0.3074204717
631	0.3073602359
632	0.3073191369
633	0.3072340746
634	0.3071962785
635	0.3071564581
636	0.3070689951
637	0.3070127986
638	0.3069401212
639	0.306843835
640	0.3067777695
641	0.306649485
642	0.3066301644
643	0.3065496818
644	0.3064508004
645	0.3063873186
646	0.3062696868
647	0.3061662164
648	0.3061042807
649	0.3060662009
650	0.3060249039
651	0.3059477846
652	0.3058517575
653	0.3057868523
654	0.3057035758
655	0.3056541883
656	0.3056382096
657	0.3055400528
658	0.3054751326
659	0.3054009936
660	0.3052902363
661	0.3051757574
662	0.3050881007
663	0.3050453326
664	0.3050085819
665	0.3049866552
666	0.3048913005
667	0.304857257
668	0.3047767288
669	0.3047064225
670	0.3046337883
671	0.3045466417
672	0.3044868361
673	0.3044253724
674	0.3042905704
675	0.3041954933
676	0.3041305044
677	0.3040340237
678	0.3039322007
679	0.3038910046
680	0.3038219089
681	0.3037619824
682	0.3036489622
683	0.3036341888
684	0.3035788479
685	0.3035031281
686	0.3034218564
687	0.303339033
688	0.3032808015
689	0.3031847106
690	0.3030913576
691	0.3029699019
692	0.3028663007
693	0.3027877364
694	0.3027035683
695	0.3026838001
696	0.3026301038
697	0.3025359925
698	0.3024368526
699	0.3023387927
700	0.3022715549
701	0.3022307263
702	0.302216024
703	0.3021142234
704	0.3020749774
705	0.3019960895
706	0.3019568518
707	0.301909016
708	0.301810018
709	0.3017036125
710	0.3016268881
711	0.3016072536
712	0.3015304402
713	0.301479729
714	0.3014015431
715	0.3013621136
716	0.3012271324
717	0.3011528974
718	0.3010553433
719	0.3010262238
720	0.3009990882
721	0.3009378063
722	0.300860452
723	0.3008310126
724	0.3007939027
725	0.3007050704
726	0.3006195891
727	0.3005333763
728	0.3004550364
729	0.3003876088
730	0.3003157543
731	0.3002433588
732	0.3001847397
733	0.3001225882
734	0.3000473916
735	0.300033411
736	0.2999369861
737	0.2999098115
738	0.2998735616
739	0.2997953046
740	0.2997606616
741	0.2997304812
742	0.299684992
743	0.2995912173
744	0.2995129973
745	0.2994401337
746	0.2993553739
747	0.2992897511
748	0.2992061119
749	0.2991749121
750	0.2991151572
751	0.2990579977
752	0.2989944417
753	0.2989559798
754	0.298899891
755	0.2988331608
756	0.2987973706
757	0.2986972543
758	0.2985906389
759	0.2985576753
760	0.2985048996
761	0.2984102615
762	0.2983122152
763	0.2982926499
764	0.2982378401
765	0.298156442
766	0.2980860667
767	0.2980473373
768	0.2979803782
769	0.2979387853
770	0.2978845609
771	0.2978554812
772	0.2978102943
773	0.2976959842
774	0.2976311723
775	0.2976214979
776	0.2975613951
777	0.2974592015
778	0.297446559
779	0.2973684407
780	0.297336462
781	0.2972932904
782	0.2972163218
783	0.2971617657
784	0.297112532
785	0.2970714861
786	0.296982937
787	0.2968800424
788	0.2967823147
789	0.2967639377
790	0.2967433306
791	0.2966932395
792	0.2966594773
793	0.2965922063
794	0.2964989498
795	0.2964266286
796	0.2963645628
797	0.2962832348
798	0.2962013334
799	0.2961633275
800	0.2961490752
801	0.2960281255
802	0.2959255236
803	0.295863943
804	0.2958376184
805	0.2957619843
806	0.295697909
807	0.2955808115
808	0.2955063559
809	0.295466977
810	0.2953824788
811	0.2953155519
812	0.2952878239
813	0.295212623
814	0.2951685589
815	0.2951246074
816	0.2950556473
817	0.2950114139
818	0.2949308766
819	0.2948666067
820	0.2948196136
821	0.2947525845
822	0.2946696297
823	0.294556136
824	0.2944955143
825	0.2943943659
826	0.2943502827
827	0.2942715228
828	0.2942170581
829	0.2941587943
830	0.2940745652
831	0.2939817835
832	0.2939048875
833	0.2938470491
834	0.2938116408
835	0.2937504315
836	0.2937356786
837	0.2936925897
838	0.2936062482
839	0.2935059303
840	0.2934070027
841	0.2933286108
842	0.2932912724
843	0.2932336465
844	0.293149113
845	0.2930717726
846	0.2930193458
847	0.2929696378
848	0.2929001816
849	0.2928440129
850	0.2927937649
851	0.2927549049
852	0.2926648671
853	0.2925478127
854	0.2925304583
855	0.2925034989
856	0.2924164147
857	0.2923623851
858	0.292326595
859	0.292218262
860	0.2921720164
861	0.2920378375
862	0.2920002114
863	0.2919630871
864	0.2919331756
865	0.2918853144
866	0.2918221828
867	0.2918000929
868	0.2917266881
869	0.291628335
870	0.2915453109
871	0.291512142
872	0.291422288
873	0.2913504755
874	0.2913030516
875	0.2912371332
876	0.2911955088
877	0.2910984365
878	0.2910433728
879	0.2909746604
880	0.2908860324
881	0.2908034447
882	0.2907836742
883	0.2907219459
884	0.290668784
885	0.2906134125
886	0.290579681
887	0.2905002622
888	0.2904368164
889	0.2903621255
890	0.290342823
891	0.2903081744
892	0.2902572376
893	0.290237209
894	0.2901609395
895	0.2901297874
896	0.2901004495
897	0.2900722765
898	0.2900442761
899	0.2900089056
900	0.2899581724
901	0.2898890933
902	0.2898358311
903	0.289777348
904	0.2897450788
905	0.2896469399
906	0.2895500988
907	0.2895019955
908	0.2894426303
909	0.2894136868
910	0.2893426901
911	0.2892916269
912	0.2892277834
913	0.2891434783
914	0.2891176105
915	0.2890396705
916	0.2889708571
917	0.2888642432
918	0.2888003604
919	0.288733367
920	0.2886654434
921	0.2886350721
922	0.2885924639
923	0.2885662053
924	0.2885270078
925	0.2884417913
926	0.28839114
927	0.2883261162
928	0.2882783201
929	0.2882182248
930	0.288151336
931	0.2880922114
932	0.2880547788
933	0.2879852658
934	0.287918761
935	0.2878584916
936	0.2877654492
937	0.2877578716
938	0.2876521231
939	0.2875792848
940	0.2874794137
941	0.2874191807
942	0.2873059547
943	0.2872243557
944	0.287131157
945	0.2870796263
946	0.2870661307
947	0.2869818846
948	0.2869299371
949	0.2868542361
950	0.2867752503
951	0.2867358492
952	0.2866915036
953	0.2866327664
954	0.2865544697
955	0.2864981209
956	0.2864169424
957	0.2863262492
958	0.2862739782
959	0.2862009582
960	0.2861478259
961	0.2860778628
962	0.2860374091
963	0.2859734849
964	0.2859467726
965	0.2859006294
966	0.2858683513
967	0.2857880015
968	0.2857088072
969	0.2856488344
970	0.2856077713
971	0.285523344
972	0.2854526813
973	0.2854300031
974	0.2854024498
975	0.2853440768
976	0.2852857325
977	0.2852102691
978	0.2851908259
979	0.2851370342
980	0.2850929849
981	0.2850766484
982	0.2850390822
983	0.284941611
984	0.2848334305
985	0.2847669894
986	0.2847314633
987	0.2846974834
988	0.2846429774
989	0.2845547159
990	0.2844759814
991	0.2844229119
992	0.2843759594
993	0.2843195411
994	0.2842574801
995	0.2841748992
996	0.2841086552
997	0.2840349096
998	0.2839577332
999	0.2839166595
